Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
2, 3, 0, 0, 21,0,0, 0.000
2, 3, 1, 2, 44,0,1, 0.000
2, 3, 2, 2, 45,1,0, 0.315
2, 3, 3, 1, 14,1,1, 0.391
2, 3, 4, 1, 22,1,1, 1.138
2, 3, 5, 2, 43,1,0, 0.472
2, 3, 6, 1, 33,0,1, 0.000
2, 3, 7, 2, 25,1,1, 0.292
2, 3, 8, 1, 38,1,0, 0.640
2, 3, 9, 1, 16,1,1, 0.300
2, 3, 10, 2, 47,1,0, 0.421
2, 3, 11, 1, 41,1,0, 0.686
2, 3, 12, 1, 34,1,0, 0.307
2, 3, 13, 1, 40,1,0, 0.352
2, 3, 14, 2, 28,1,1, 0.268
2, 3, 15, 1, 36,0,1, 0.000
2, 3, 16, 1, 17,1,1, 0.409
2, 3, 17, 2, 48,1,0, 0.333
2, 3, 18, 2, 50,0,1, 0.000
2, 3, 19, 2, 29,1,1, 0.831
2, 3, 20, 0, 26,0,0, 0.000
2, 3, 21, 0, 19,0,0, 0.000
2, 3, 22, 2, 27,1,1, 0.410
2, 3, 23, 2, 31,1,1, 0.096
2, 3, 24, 2, 49,0,1, 0.000
2, 3, 25, 1, 15,1,1, 0.327
2, 3, 26, 2, 32,1,1, 0.490
2, 3, 27, 1, 35,0,1, 0.000
2, 3, 28, 1, 20,1,1, 0.276
2, 3, 29, 2, 46,1,0, 0.512
2, 3, 30, 2, 51,1,0, 0.260
2, 3, 31, 0, 24,0,0, 0.000
2, 3, 32, 1, 39,1,0, 0.923
2, 3, 33, 2, 52,1,0, 0.368
2, 3, 34, 1, 13,1,1, 0.250
2, 3, 35, 2, 30,1,1, 0.338
2, 3, 36, 1, 18,1,1, 0.946
2, 3, 37, 1, 42,0,1, 0.000
2, 3, 38, 2, 23,1,1, 0.707
2, 3, 39, 1, 37,0,1, 0.000
3, 1, 0, 1, 18,1,1, 0.277
3, 1, 1, 2, 25,1,1, 0.248
3, 1, 2, 1, 33,1,0, 0.872
3, 1, 3, 2, 43,0,1, 0.000
3, 1, 4, 0, 29,0,0, 0.000
3, 1, 5, 1, 34,1,0, 0.335
3, 1, 6, 2, 47,0,1, 0.000
3, 1, 7, 2, 24,1,1, 0.603
3, 1, 8, 2, 51,1,0, 0.256
3, 1, 9, 1, 35,0,1, 0.000
3, 1, 10, 1, 37,1,0, 0.575
3, 1, 11, 1, 15,1,1, 1.050
3, 1, 12, 2, 49,0,1, 0.000
3, 1, 13, 0, 17,0,0, 0.000
3, 1, 14, 0, 23,0,0, 0.000
3, 1, 15, 0, 22,0,0, 0.000
3, 1, 16, 2, 48,0,1, 0.000
3, 1, 17, 1, 42,1,0, 0.801
3, 1, 18, 2, 52,1,0, 0.385
3, 1, 19, 2, 46,1,0, 0.291
3, 1, 20, 2, 26,1,1, 0.254
3, 1, 21, 0, 21,0,0, 0.000
3, 1, 22, 0, 28,0,0, 0.000
3, 1, 23, 1, 38,1,0, 0.335
3, 1, 24, 1, 40,1,0, 1.101
3, 1, 25, 1, 39,0,1, 0.000
3, 1, 26, 0, 32,0,0, 0.000
3, 1, 27, 2, 45,0,1, 0.000
3, 1, 28, 1, 16,1,1, 0.344
3, 1, 29, 0, 30,0,0, 0.000
3, 1, 30, 1, 36,1,0, 0.303
3, 1, 31, 0, 27,0,0, 0.000
3, 1, 32, 2, 44,1,0, 1.034
3, 1, 33, 1, 41,0,1, 0.000
3, 1, 34, 0, 14,0,0, 0.000
3, 1, 35, 1, 20,1,1, 0.259
3, 1, 36, 0, 19,0,0, 0.000
3, 1, 37, 2, 50,0,1, 0.000
3, 1, 38, 0, 13,0,0, 0.000
3, 1, 39, 2, 31,1,1, 0.395
0, 2, 0, 1, 35,0,1, 0.000
0, 2, 1, 1, 37,0,1, 0.000
0, 2, 2, 1, 15,1,1, 0.238
0, 2, 3, 1, 19,1,1, 0.466
0, 2, 4, 1, 40,0,1, 0.000
0, 2, 5, 2, 27,1,1, 0.538
0, 2, 6, 2, 50,0,1, 0.000
0, 2, 7, 0, 23,0,0, 0.000
0, 2, 8, 2, 51,0,1, 0.000
0, 2, 9, 0, 26,0,0, 0.000
0, 2, 10, 2, 24,1,1, 0.633
0, 2, 11, 1, 34,0,1, 0.000
0, 2, 12, 2, 25,1,1, 0.270
0, 2, 13, 1, 13,1,1, 0.045
