Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
5, 3, 0, 1, 34,0,1, 0.000
5, 3, 1, 2, 31,0,0, 0.000
5, 3, 2, 2, 30,0,0, 0.000
5, 3, 3, 1, 22,0,0, 0.000
5, 3, 4, 2, 32,1,1, 0.690
5, 3, 5, 2, 48,1,0, 0.739
5, 3, 6, 1, 19,1,1, 0.731
5, 3, 7, 1, 33,1,0, 0.585
5, 3, 8, 1, 16,1,1, 0.537
5, 3, 9, 2, 24,1,1, 0.485
5, 3, 10, 1, 17,0,0, 0.000
5, 3, 11, 2, 23,0,0, 0.000
5, 3, 12, 2, 49,1,0, 0.602
5, 3, 13, 1, 39,0,1, 0.000
5, 3, 14, 1, 21,0,0, 0.000
5, 3, 15, 1, 36,1,0, 0.571
5, 3, 16, 1, 18,0,0, 0.000
5, 3, 17, 1, 37,1,0, 0.564
5, 3, 18, 2, 27,0,0, 0.000
5, 3, 19, 2, 47,0,1, 0.000
5, 3, 20, 1, 15,1,1, 0.942
5, 3, 21, 1, 14,0,0, 0.000
5, 3, 22, 2, 51,1,0, 0.562
5, 3, 23, 1, 38,0,1, 0.000
5, 3, 24, 1, 40,1,0, 0.582
5, 3, 25, 2, 25,1,1, 0.632
5, 3, 26, 1, 20,0,0, 0.000
5, 3, 27, 2, 46,0,1, 0.000
5, 3, 28, 2, 52,0,1, 0.000
5, 3, 29, 2, 45,0,1, 0.000
5, 3, 30, 2, 50,0,1, 0.000
5, 3, 31, 1, 42,0,1, 0.000
5, 3, 32, 2, 29,1,1, 1.415
5, 3, 33, 2, 43,0,1, 0.000
5, 3, 34, 1, 13,0,0, 0.000
5, 3, 35, 2, 26,0,0, 0.000
5, 3, 36, 1, 35,0,1, 0.000
5, 3, 37, 2, 28,1,1, 0.428
5, 3, 38, 2, 44,0,1, 0.000
5, 3, 39, 1, 41,0,1, 0.000
3, 2, 0, 2, 26,1,1, 0.146
3, 2, 1, 1, 15,0,0, 0.000
3, 2, 2, 1, 22,0,0, 0.000
3, 2, 3, 2, 27,0,0, 0.000
3, 2, 4, 2, 43,0,1, 0.000
3, 2, 5, 1, 41,0,1, 0.000
3, 2, 6, 2, 29,1,1, 0.428
3, 2, 7, 1, 42,1,0, 0.452
3, 2, 8, 2, 49,0,1, 0.000
3, 2, 9, 1, 37,0,1, 0.000
3, 2, 10, 1, 39,0,1, 0.000
3, 2, 11, 2, 28,1,1, 0.455
3, 2, 12, 2, 51,1,0, 0.723
3, 2, 13, 1, 33,0,1, 0.000
3, 2, 14, 1, 21,0,0, 0.000
3, 2, 15, 2, 23,1,1, 1.274
3, 2, 16, 1, 16,0,0, 0.000
3, 2, 17, 2, 44,1,0, 0.811
3, 2, 18, 2, 25,1,1, 0.749
3, 2, 19, 2, 52,0,1, 0.000
3, 2, 20, 2, 46,0,1, 0.000
3, 2, 21, 1, 19,1,1, 0.800
3, 2, 22, 1, 36,0,1, 0.000
3, 2, 23, 2, 48,0,1, 0.000
3, 2, 24, 1, 14,0,0, 0.000
3, 2, 25, 1, 18,1,1, 0.175
3, 2, 26, 1, 35,0,1, 0.000
3, 2, 27, 2, 31,1,1, 0.927
3, 2, 28, 2, 30,1,1, 0.644
3, 2, 29, 2, 24,0,0, 0.000
3, 2, 30, 1, 13,1,1, 0.747
3, 2, 31, 1, 40,0,1, 0.000
3, 2, 32, 2, 32,0,0, 0.000
3, 2, 33, 1, 17,0,0, 0.000
3, 2, 34, 1, 38,1,0, 0.508
3, 2, 35, 2, 47,0,1, 0.000
3, 2, 36, 1, 34,0,1, 0.000
3, 2, 37, 2, 45,0,1, 0.000
3, 2, 38, 1, 20,0,0, 0.000
3, 2, 39, 2, 50,0,1, 0.000
0, 2, 0, 2, 27,1,1, 0.414
0, 2, 1, 2, 28,1,1, 0.413
0, 2, 2, 1, 13,0,0, 0.000
0, 2, 3, 2, 43,0,1, 0.000
0, 2, 4, 1, 38,0,1, 0.000
0, 2, 5, 1, 37,0,1, 0.000
0, 2, 6, 2, 52,0,1, 0.000
0, 2, 7, 1, 33,0,1, 0.000
0, 2, 8, 1, 34,0,1, 0.000
0, 2, 9, 1, 35,0,1, 0.000
0, 2, 10, 1, 40,0,1, 0.000
0, 2, 11, 1, 14,1,1, 0.438
0, 2, 12, 2, 23,1,1, 0.448
0, 2, 13, 2, 47,0,1, 0.000
0, 2, 14, 1, 22,1,1, 0.530
0, 2, 15, 1, 39,1,0, 0.610
0, 2, 16, 2, 46,1,0, 0.829
0, 2, 17, 1, 17,1,1, 0.781
0, 2, 18, 2, 45,0,1, 0.000
0, 2, 19, 1, 36,1,0, 0.493
0, 2, 20, 2, 49,1,0, 0.645
0, 2, 21, 2, 26,1,1, 0.583
0, 2, 22, 2, 25,1,1, 0.420
0, 2, 23, 1, 21,0,0, 0.000
0, 2, 24, 2, 50,1,0, 0.952
0, 2, 25, 2, 31,1,1, 0.626
0, 2, 26, 2, 48,0,1, 0.000
0, 2, 27, 2, 44,0,1, 0.000
0, 2, 28, 1, 18,1,1, 0.489
0, 2, 29, 2, 32,1,1, 0.768
0, 2, 30, 2, 29,1,1, 0.702
0, 2, 31, 1, 20,0,0, 0.000
0, 2, 32, 1, 19,0,0, 0.000
0, 2, 33, 2, 30,0,0, 0.000
0, 2, 34, 1, 41,0,1, 0.000
0, 2, 35, 1, 16,1,1, 1.129
0, 2, 36, 2, 51,0,1, 0.000
0, 2, 37, 1, 15,1,1, 0.407
0, 2, 38, 1, 42,0,1, 0.000
0, 2, 39, 2, 24,1,1, 0.489
2, 1, 0, 2, 28,1,1, 0.373
2, 1, 1, 1, 34,0,1, 0.000
2, 1, 2, 1, 40,0,1, 0.000
2, 1, 3, 2, 29,0,0, 0.000
2, 1, 4, 1, 41,0,1, 0.000
2, 1, 5, 1, 42,0,1, 0.000
2, 1, 6, 1, 22,1,1, 0.497
2, 1, 7, 1, 15,0,0, 0.000
