Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
4, 1, 0, 2, 51,1,0, 0.227
4, 1, 1, 1, 18,1,1, 0.314
4, 1, 2, 1, 37,1,0, 0.700
4, 1, 3, 2, 44,0,1, 0.000
4, 1, 4, 2, 31,1,1, 0.353
4, 1, 5, 2, 28,1,1, 0.314
4, 1, 6, 1, 15,1,1, 0.309
4, 1, 7, 2, 29,1,1, 0.335
4, 1, 8, 2, 23,0,0, 0.000
4, 1, 9, 1, 35,0,1, 0.000
4, 1, 10, 1, 36,1,0, 0.305
4, 1, 11, 1, 41,1,0, 0.933
4, 1, 12, 1, 14,1,1, 0.462
4, 1, 13, 1, 38,1,0, 0.422
4, 1, 14, 2, 46,0,1, 0.000
4, 1, 15, 2, 52,1,0, 0.431
4, 1, 16, 2, 45,0,1, 0.000
4, 1, 17, 1, 40,0,1, 0.000
4, 1, 18, 2, 47,0,1, 0.000
4, 1, 19, 1, 19,1,1, 0.350
4, 1, 20, 2, 50,0,1, 0.000
4, 1, 21, 2, 30,1,1, 0.293
4, 1, 22, 1, 16,1,1, 0.300
4, 1, 23, 2, 25,1,1, 0.299
4, 1, 24, 2, 49,0,1, 0.000
4, 1, 25, 1, 17,0,0, 0.000
4, 1, 26, 2, 27,1,1, 0.284
4, 1, 27, 2, 48,0,1, 0.000
4, 1, 28, 1, 13,0,0, 0.000
4, 1, 29, 1, 39,0,1, 0.000
4, 1, 30, 2, 43,1,0, 0.797
4, 1, 31, 2, 24,1,1, 0.295
4, 1, 32, 2, 26,1,1, 0.718
4, 1, 33, 2, 32,0,0, 0.000
4, 1, 34, 1, 20,1,1, 0.296
4, 1, 35, 1, 21,1,1, 0.404
4, 1, 36, 1, 22,0,0, 0.000
4, 1, 37, 1, 34,1,0, 0.545
4, 1, 38, 1, 42,1,0, 0.275
4, 1, 39, 1, 33,0,1, 0.000
1, 3, 0, 2, 25,1,1, 0.276
1, 3, 1, 2, 23,0,0, 0.000
1, 3, 2, 2, 52,0,1, 0.000
1, 3, 3, 2, 43,1,0, 0.948
1, 3, 4, 1, 42,1,0, 0.662
1, 3, 5, 1, 17,1,1, 0.397
1, 3, 6, 1, 22,0,0, 0.000
1, 3, 7, 2, 30,1,1, 0.283
1, 3, 8, 2, 26,0,0, 0.000
1, 3, 9, 2, 44,0,1, 0.000
1, 3, 10, 2, 29,0,0, 0.000
1, 3, 11, 2, 46,0,1, 0.000
1, 3, 12, 1, 41,0,1, 0.000
1, 3, 13, 2, 28,1,1, 0.271
1, 3, 14, 2, 45,0,1, 0.000
1, 3, 15, 1, 20,1,1, 0.355
1, 3, 16, 2, 48,1,0, 0.252
1, 3, 17, 1, 35,0,1, 0.000
1, 3, 18, 1, 36,1,0, 0.550
1, 3, 19, 2, 24,1,1, 0.781
1, 3, 20, 1, 38,0,1, 0.000
1, 3, 21, 2, 31,1,1, 1.324
1, 3, 22, 1, 19,1,1, 0.316
1, 3, 23, 1, 16,1,1, 0.300
1, 3, 24, 1, 34,1,0, 0.787
1, 3, 25, 1, 18,1,1, 0.287
1, 3, 26, 2, 50,1,0, 0.303
1, 3, 27, 2, 47,0,1, 0.000
1, 3, 28, 1, 33,0,1, 0.000
1, 3, 29, 1, 14,1,1, 0.334
1, 3, 30, 1, 21,0,0, 0.000
1, 3, 31, 1, 13,1,1, 0.279
1, 3, 32, 2, 32,0,0, 0.000
1, 3, 33, 1, 15,1,1, 0.252
1, 3, 34, 1, 39,0,1, 0.000
1, 3, 35, 1, 40,0,1, 0.000
1, 3, 36, 1, 37,0,1, 0.000
1, 3, 37, 2, 51,1,0, 0.275
1, 3, 38, 2, 49,1,0, 0.652
1, 3, 39, 2, 27,1,1, 1.143
5, 2, 0, 1, 16,1,1, 0.348
5, 2, 1, 1, 20,1,1, 0.272
5, 2, 2, 2, 24,0,0, 0.000
5, 2, 3, 2, 50,0,1, 0.000
5, 2, 4, 1, 13,1,1, 0.269
5, 2, 5, 2, 27,0,0, 0.000
5, 2, 6, 1, 39,0,1, 0.000
5, 2, 7, 1, 21,0,0, 0.000
5, 2, 8, 1, 41,0,1, 0.000
5, 2, 9, 2, 48,1,0, 0.307
5, 2, 10, 1, 36,0,1, 0.000
5, 2, 11, 2, 23,0,0, 0.000
5, 2, 12, 1, 15,1,1, 0.620
5, 2, 13, 2, 46,0,1, 0.000
5, 2, 14, 1, 19,1,1, 1.053
5, 2, 15, 2, 45,0,1, 0.000
5, 2, 16, 2, 29,1,1, 0.852
5, 2, 17, 1, 33,1,0, 0.386
5, 2, 18, 2, 52,0,1, 0.000
5, 2, 19, 1, 22,1,1, 0.352
5, 2, 20, 2, 49,0,1, 0.000
5, 2, 21, 2, 26,0,0, 0.000
5, 2, 22, 2, 44,0,1, 0.000
5, 2, 23, 1, 37,1,0, 0.841
5, 2, 24, 1, 35,1,0, 0.414
5, 2, 25, 1, 18,1,1, 0.269
5, 2, 26, 2, 25,0,0, 0.000
5, 2, 27, 2, 31,1,1, 0.276
5, 2, 28, 1, 14,0,0, 0.000
5, 2, 29, 2, 47,0,1, 0.000
5, 2, 30, 2, 43,1,0, 0.334
5, 2, 31, 1, 42,0,1, 0.000
5, 2, 32, 2, 32,1,1, 0.382
5, 2, 33, 1, 17,0,0, 0.000
5, 2, 34, 1, 38,1,0, 1.156
5, 2, 35, 1, 40,0,1, 0.000
5, 2, 36, 2, 51,0,1, 0.000
5, 2, 37, 2, 28,0,0, 0.000
5, 2, 38, 1, 34,1,0, 0.434
5, 2, 39, 2, 30,0,0, 0.000
0, 2, 0, 2, 43,1,0, 0.775
0, 2, 1, 1, 21,0,0, 0.000
0, 2, 2, 2, 52,1,0, 0.314
0, 2, 3, 2, 51,0,1, 0.000
0, 2, 4, 2, 30,1,1, 0.314
0, 2, 5, 2, 44,0,1, 0.000
0, 2, 6, 2, 26,1,1, 0.259
0, 2, 7, 1, 41,0,1, 0.000
0, 2, 8, 1, 19,1,1, 0.609
0, 2, 9, 1, 22,1,1, 0.243
0, 2, 10, 2, 23,1,1, 0.139
0, 2, 11, 1, 20,1,1, 0.384
0, 2, 12, 1, 38,0,1, 0.000
0, 2, 13, 1, 16,1,1, 0.397
0, 2, 14, 2, 25,1,1, 0.308
0, 2, 15, 1, 39,0,1, 0.000
0, 2, 16, 2, 31,1,1, 0.255
0, 2, 17, 2, 27,0,0, 0.000
0, 2, 18, 1, 35,0,1, 0.000
0, 2, 19, 1, 36,0,1, 0.000
0, 2, 20, 2, 29,1,1, 0.235
0, 2, 21, 1, 40,1,0, 0.283
0, 2, 22, 1, 18,1,1, 0.239
0, 2, 23, 1, 17,1,1, 0.300
0, 2, 24, 2, 32,1,1, 0.602
0, 2, 25, 2, 48,1,0, 0.405
0, 2, 26, 1, 34,0,1, 0.000
0, 2, 27, 1, 33,1,0, 0.701
0, 2, 28, 1, 42,1,0, 0.273
0, 2, 29, 2, 46,1,0, 0.344
0, 2, 30, 2, 49,0,1, 0.000
0, 2, 31, 1, 14,0,0, 0.000
0, 2, 32, 2, 47,0,1, 0.000
0, 2, 33, 2, 24,1,1, 0.296
0, 2, 34, 2, 50,1,0, 0.521
0, 2, 35, 2, 45,1,0, 0.365
0, 2, 36, 1, 15,1,1, 0.629
0, 2, 37, 2, 28,1,1, 0.426
0, 2, 38, 1, 13,0,0, 0.000
0, 2, 39, 1, 37,0,1, 0.000
3, 3, 0, 2, 49,0,1, 0.000
3, 3, 1, 1, 21,1,1, 1.301
3, 3, 2, 2, 43,1,0, 0.444
3, 3, 3, 2, 51,1,0, 0.523
3, 3, 4, 2, 47,0,1, 0.000
3, 3, 5, 1, 19,1,1, 0.238
3, 3, 6, 1, 22,0,0, 0.000
3, 3, 7, 1, 17,0,0, 0.000
3, 3, 8, 1, 38,1,0, 0.549
3, 3, 9, 1, 33,0,1, 0.000
3, 3, 10, 2, 23,0,0, 0.000
3, 3, 11, 1, 34,0,1, 0.000
3, 3, 12, 2, 52,1,0, 0.597
3, 3, 13, 2, 26,1,1, 0.334
3, 3, 14, 1, 18,0,0, 0.000
3, 3, 15, 1, 36,1,0, 0.355
3, 3, 16, 2, 31,1,1, 0.280
3, 3, 17, 1, 42,1,0, 1.055
3, 3, 18, 1, 40,0,1, 0.000
3, 3, 19, 2, 44,0,1, 0.000
3, 3, 20, 2, 25,1,1, 0.282
3, 3, 21, 2, 29,1,1, 0.488
3, 3, 22, 2, 46,1,0, 0.522
3, 3, 23, 2, 28,1,1, 0.838
3, 3, 24, 1, 14,0,0, 0.000
3, 3, 25, 2, 45,0,1, 0.000
3, 3, 26, 2, 48,0,1, 0.000
3, 3, 27, 2, 27,0,0, 0.000
3, 3, 28, 2, 50,0,1, 0.000
3, 3, 29, 1, 16,1,1, 0.276
3, 3, 30, 1, 13,0,0, 0.000
3, 3, 31, 1, 15,1,1, 0.801
3, 3, 32, 2, 32,0,0, 0.000
3, 3, 33, 1, 39,0,1, 0.000
3, 3, 34, 1, 35,0,1, 0.000
3, 3, 35, 1, 41,1,0, 0.621
3, 3, 36, 2, 30,1,1, 0.625
3, 3, 37, 1, 37,1,0, 0.343
3, 3, 38, 2, 24,1,1, 0.295
3, 3, 39, 1, 20,1,1, 0.202
2, 1, 0, 1, 41,1,0, 0.215
2, 1, 1, 2, 49,1,0, 0.262
2, 1, 2, 2, 26,0,0, 0.000
2, 1, 3, 1, 33,0,1, 0.000
2, 1, 4, 2, 52,0,1, 0.000
2, 1, 5, 2, 47,0,1, 0.000
2, 1, 6, 1, 20,0,0, 0.000
2, 1, 7, 2, 32,0,0, 0.000
2, 1, 8, 1, 17,0,0, 0.000
2, 1, 9, 1, 21,1,1, 0.421
2, 1, 10, 1, 19,1,1, 0.516
2, 1, 11, 1, 37,0,1, 0.000
2, 1, 12, 2, 46,1,0, 0.129
2, 1, 13, 1, 15,1,1, 0.234
2, 1, 14, 1, 42,1,0, 0.530
2, 1, 15, 2, 31,1,1, 0.091
2, 1, 16, 2, 45,1,0, 0.696
2, 1, 17, 2, 29,0,0, 0.000
2, 1, 18, 2, 51,1,0, 0.604
2, 1, 19, 2, 23,0,0, 0.000
2, 1, 20, 1, 38,1,0, 0.347
2, 1, 21, 2, 48,1,0, 0.717
2, 1, 22, 2, 28,1,1, 0.251
2, 1, 23, 2, 24,0,0, 0.000
2, 1, 24, 2, 27,1,1, 0.061
2, 1, 25, 2, 44,0,1, 0.000
2, 1, 26, 1, 18,1,1, 0.303
2, 1, 27, 1, 39,0,1, 0.000
2, 1, 28, 2, 30,1,1, 0.398
2, 1, 29, 1, 22,0,0, 0.000
2, 1, 30, 1, 40,0,1, 0.000
2, 1, 31, 2, 43,0,1, 0.000
2, 1, 32, 1, 36,0,1, 0.000
2, 1, 33, 2, 50,0,1, 0.000
2, 1, 34, 1, 16,1,1, 0.209
2, 1, 35, 2, 25,1,1, 0.487
2, 1, 36, 1, 34,1,0, 0.704
2, 1, 37, 1, 14,0,0, 0.000
2, 1, 38, 1, 35,0,1, 0.000
2, 1, 39, 1, 13,1,1, 1.418
