Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
4, 3, 0, 1, 40,0,1, 0.000
4, 3, 1, 1, 14,0,0, 0.000
4, 3, 2, 1, 33,0,1, 0.000
4, 3, 3, 2, 52,1,0, 0.510
4, 3, 4, 1, 22,1,1, 0.408
4, 3, 5, 1, 39,1,0, 0.615
4, 3, 6, 2, 48,0,1, 0.000
4, 3, 7, 2, 47,0,1, 0.000
4, 3, 8, 1, 38,0,1, 0.000
4, 3, 9, 1, 15,0,0, 0.000
4, 3, 10, 2, 25,0,0, 0.000
4, 3, 11, 2, 44,1,0, 0.401
4, 3, 12, 1, 36,0,1, 0.000
4, 3, 13, 2, 26,0,0, 0.000
4, 3, 14, 2, 50,0,1, 0.000
4, 3, 15, 1, 37,0,1, 0.000
4, 3, 16, 1, 17,0,0, 0.000
4, 3, 17, 1, 18,0,0, 0.000
4, 3, 18, 2, 29,0,0, 0.000
4, 3, 19, 2, 28,1,1, 0.510
4, 3, 20, 1, 41,0,1, 0.000
4, 3, 21, 2, 51,0,1, 0.000
4, 3, 22, 1, 20,0,0, 0.000
4, 3, 23, 2, 27,0,0, 0.000
4, 3, 24, 2, 23,0,0, 0.000
4, 3, 25, 2, 24,0,0, 0.000
4, 3, 26, 2, 32,0,0, 0.000
4, 3, 27, 2, 46,0,1, 0.000
4, 3, 28, 2, 31,0,0, 0.000
4, 3, 29, 2, 45,0,1, 0.000
4, 3, 30, 1, 13,0,0, 0.000
4, 3, 31, 1, 34,0,1, 0.000
4, 3, 32, 1, 35,1,0, 0.548
4, 3, 33, 1, 42,0,1, 0.000
4, 3, 34, 1, 16,0,0, 0.000
4, 3, 35, 2, 43,0,1, 0.000
4, 3, 36, 1, 19,0,0, 0.000
4, 3, 37, 1, 21,0,0, 0.000
4, 3, 38, 2, 30,0,0, 0.000
4, 3, 39, 2, 49,0,1, 0.000
5, 1, 0, 1, 21,1,1, 0.501
5, 1, 1, 1, 40,0,1, 0.000
5, 1, 2, 1, 15,0,0, 0.000
5, 1, 3, 1, 35,0,1, 0.000
5, 1, 4, 1, 14,0,0, 0.000
5, 1, 5, 1, 16,0,0, 0.000
5, 1, 6, 2, 32,0,0, 0.000
5, 1, 7, 2, 45,0,1, 0.000
5, 1, 8, 1, 18,1,1, 1.178
5, 1, 9, 2, 25,0,0, 0.000
5, 1, 10, 1, 13,1,1, 0.508
5, 1, 11, 1, 20,0,0, 0.000
5, 1, 12, 2, 48,1,0, 0.606
5, 1, 13, 2, 46,0,1, 0.000
5, 1, 14, 2, 31,1,1, 0.357
5, 1, 15, 2, 27,1,1, 0.351
5, 1, 16, 1, 37,1,0, 0.361
5, 1, 17, 2, 47,0,1, 0.000
5, 1, 18, 1, 22,0,0, 0.000
5, 1, 19, 1, 39,0,1, 0.000
5, 1, 20, 2, 23,1,1, 0.449
5, 1, 21, 1, 19,1,1, 0.422
5, 1, 22, 2, 26,1,1, 0.428
5, 1, 23, 1, 33,1,0, 0.302
5, 1, 24, 1, 34,0,1, 0.000
