Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
5, 3, 0, 1, 41,1,0, 1.087
5, 3, 1, 1, 18,1,1, 0.829
5, 3, 2, 2, 47,0,1, 0.000
5, 3, 3, 2, 31,1,1, 0.529
5, 3, 4, 1, 40,0,1, 0.000
5, 3, 5, 1, 38,1,0, 0.481
5, 3, 6, 2, 45,0,1, 0.000
5, 3, 7, 2, 26,1,1, 0.561
5, 3, 8, 1, 37,1,0, 0.515
5, 3, 9, 1, 42,0,1, 0.000
5, 3, 10, 1, 13,1,1, 0.457
5, 3, 11, 2, 44,1,0, 0.503
5, 3, 12, 2, 29,1,1, 0.727
5, 3, 13, 2, 23,1,1, 0.691
5, 3, 14, 2, 49,0,1, 0.000
5, 3, 15, 2, 25,1,1, 0.445
5, 3, 16, 2, 30,1,1, 0.955
5, 3, 17, 2, 32,0,0, 0.000
5, 3, 18, 2, 28,1,1, 0.593
5, 3, 19, 1, 19,1,1, 0.675
5, 3, 20, 1, 17,0,0, 0.000
5, 3, 21, 1, 16,1,1, 0.645
5, 3, 22, 2, 43,1,0, 0.805
5, 3, 23, 2, 48,0,1, 0.000
5, 3, 24, 2, 24,1,1, 0.583
5, 3, 25, 1, 39,0,1, 0.000
5, 3, 26, 1, 36,1,0, 0.653
5, 3, 27, 1, 14,1,1, 0.579
5, 3, 28, 1, 15,1,1, 0.389
5, 3, 29, 2, 51,1,0, 0.561
5, 3, 30, 1, 22,1,1, 0.825
5, 3, 31, 1, 21,1,1, 0.595
5, 3, 32, 1, 33,1,0, 0.655
5, 3, 33, 2, 52,0,1, 0.000
5, 3, 34, 1, 35,0,1, 0.000
5, 3, 35, 2, 50,1,0, 1.149
5, 3, 36, 1, 34,1,0, 0.839
5, 3, 37, 2, 46,0,1, 0.000
5, 3, 38, 1, 20,1,1, 0.751
5, 3, 39, 2, 27,0,0, 0.000
2, 3, 0, 2, 47,0,1, 0.000
2, 3, 1, 2, 43,1,0, 0.679
2, 3, 2, 2, 29,1,1, 0.603
2, 3, 3, 2, 49,0,1, 0.000
2, 3, 4, 1, 37,1,0, 0.697
2, 3, 5, 2, 44,0,1, 0.000
2, 3, 6, 2, 45,1,0, 0.467
2, 3, 7, 1, 33,1,0, 0.785
2, 3, 8, 1, 19,0,0, 0.000
2, 3, 9, 1, 35,0,1, 0.000
2, 3, 10, 2, 52,0,1, 0.000
2, 3, 11, 1, 21,1,1, 0.595
2, 3, 12, 1, 17,1,1, 0.765
2, 3, 13, 1, 20,0,0, 0.000
2, 3, 14, 2, 23,1,1, 0.635
2, 3, 15, 1, 16,1,1, 0.577
2, 3, 16, 1, 22,0,0, 0.000
2, 3, 17, 1, 36,1,0, 0.515
2, 3, 18, 2, 26,1,1, 0.477
2, 3, 19, 1, 14,1,1, 0.769
2, 3, 20, 1, 42,1,0, 0.541
2, 3, 21, 1, 15,1,1, 0.499
2, 3, 22, 2, 25,0,0, 0.000
2, 3, 23, 1, 13,1,1, 0.533
2, 3, 24, 2, 27,1,1, 0.889
2, 3, 25, 1, 18,1,1, 0.505
2, 3, 26, 1, 34,1,0, 1.335
2, 3, 27, 2, 31,1,1, 0.379
2, 3, 28, 2, 51,0,1, 0.000
2, 3, 29, 1, 39,0,1, 0.000
2, 3, 30, 2, 48,1,0, 0.559
2, 3, 31, 2, 30,1,1, 0.841
2, 3, 32, 2, 46,1,0, 0.715
2, 3, 33, 1, 40,1,0, 0.809
2, 3, 34, 2, 24,1,1, 0.571
2, 3, 35, 1, 38,1,0, 0.593
2, 3, 36, 1, 41,0,1, 0.000
2, 3, 37, 2, 32,0,0, 0.000
2, 3, 38, 2, 50,0,1, 0.000
2, 3, 39, 2, 28,1,1, 0.993
0, 1, 0, 2, 29,1,1, 0.793
0, 1, 1, 1, 15,1,1, 0.423
0, 1, 2, 2, 27,1,1, 1.181
0, 1, 3, 2, 50,0,1, 0.000
0, 1, 4, 1, 42,0,1, 0.000
0, 1, 5, 1, 20,1,1, 0.731
0, 1, 6, 1, 13,1,1, 0.629
0, 1, 7, 1, 33,0,1, 0.000
0, 1, 8, 2, 44,0,1, 0.000
0, 1, 9, 2, 32,1,1, 0.751
0, 1, 10, 1, 38,0,1, 0.000
0, 1, 11, 2, 23,1,1, 0.597
0, 1, 12, 2, 49,0,1, 0.000
0, 1, 13, 2, 52,1,0, 0.569
0, 1, 14, 1, 35,0,1, 0.000
0, 1, 15, 2, 28,1,1, 0.683
0, 1, 16, 1, 18,1,1, 1.013
0, 1, 17, 1, 16,1,1, 0.663
0, 1, 18, 1, 37,0,1, 0.000
0, 1, 19, 1, 39,1,0, 0.947
0, 1, 20, 2, 25,1,1, 0.757
0, 1, 21, 1, 17,1,1, 1.375
0, 1, 22, 2, 31,0,0, 0.000
0, 1, 23, 1, 36,1,0, 0.569
0, 1, 24, 2, 30,1,1, 0.511
0, 1, 25, 2, 51,1,0, 0.553
0, 1, 26, 1, 21,0,0, 0.000
0, 1, 27, 2, 47,0,1, 0.000
0, 1, 28, 1, 41,1,0, 0.503
0, 1, 29, 1, 34,1,0, 0.917
0, 1, 30, 1, 40,0,1, 0.000
0, 1, 31, 2, 48,0,1, 0.000
0, 1, 32, 2, 43,1,0, 0.357
0, 1, 33, 1, 14,1,1, 0.539
0, 1, 34, 2, 46,0,1, 0.000
0, 1, 35, 2, 45,1,0, 0.555
0, 1, 36, 2, 24,0,0, 0.000
0, 1, 37, 1, 19,1,1, 0.431
0, 1, 38, 2, 26,0,0, 0.000
0, 1, 39, 1, 22,1,1, 0.385
4, 2, 0, 2, 31,1,1, 0.719
4, 2, 1, 1, 33,1,0, 0.489
4, 2, 2, 1, 37,0,1, 0.000
4, 2, 3, 2, 52,1,0, 0.673
4, 2, 4, 1, 36,0,1, 0.000
4, 2, 5, 1, 38,1,0, 0.413
4, 2, 6, 2, 23,0,0, 0.000
4, 2, 7, 1, 18,0,0, 0.000
4, 2, 8, 1, 17,1,1, 0.569
4, 2, 9, 2, 49,1,0, 0.479
4, 2, 10, 1, 41,1,0, 1.303
4, 2, 11, 2, 47,0,1, 0.000
4, 2, 12, 2, 28,1,1, 0.571
4, 2, 13, 1, 21,0,0, 0.000
4, 2, 14, 2, 25,1,1, 0.475
4, 2, 15, 2, 29,0,0, 0.000
4, 2, 16, 2, 46,0,1, 0.000
4, 2, 17, 1, 35,1,0, 0.293
4, 2, 18, 2, 50,1,0, 0.603
4, 2, 19, 2, 27,1,1, 0.371
4, 2, 20, 2, 48,0,1, 0.000
4, 2, 21, 1, 14,1,1, 0.549
4, 2, 22, 2, 44,0,1, 0.000
4, 2, 23, 2, 24,1,1, 0.619
4, 2, 24, 1, 42,0,1, 0.000
4, 2, 25, 2, 51,1,0, 0.601
4, 2, 26, 1, 15,1,1, 0.709
4, 2, 27, 1, 39,0,1, 0.000
4, 2, 28, 1, 34,0,1, 0.000
4, 2, 29, 1, 13,1,1, 0.505
4, 2, 30, 1, 16,1,1, 0.719
4, 2, 31, 2, 30,1,1, 0.715
4, 2, 32, 2, 43,1,0, 0.553
4, 2, 33, 1, 19,0,0, 0.000
4, 2, 34, 2, 45,0,1, 0.000
4, 2, 35, 2, 26,1,1, 0.437
4, 2, 36, 1, 22,1,1, 0.537
4, 2, 37, 1, 40,0,1, 0.000
4, 2, 38, 1, 20,1,1, 0.941
4, 2, 39, 2, 32,1,1, 0.717
1, 2, 0, 2, 43,1,0, 0.507
1, 2, 1, 2, 51,0,1, 0.000
1, 2, 2, 2, 44,0,1, 0.000
1, 2, 3, 2, 52,1,0, 0.973
1, 2, 4, 2, 48,1,0, 0.997
1, 2, 5, 1, 18,1,1, 0.485
1, 2, 6, 1, 15,1,1, 0.679
1, 2, 7, 1, 14,1,1, 0.917
1, 2, 8, 1, 13,1,1, 0.547
1, 2, 9, 2, 29,1,1, 0.559
1, 2, 10, 2, 32,0,0, 0.000
1, 2, 11, 1, 33,1,0, 0.821
1, 2, 12, 2, 47,0,1, 0.000
1, 2, 13, 2, 28,1,1, 0.575
1, 2, 14, 2, 49,0,1, 0.000
1, 2, 15, 2, 25,1,1, 0.593
1, 2, 16, 1, 22,1,1, 0.631
1, 2, 17, 1, 38,1,0, 0.519
1, 2, 18, 2, 31,1,1, 0.799
1, 2, 19, 1, 19,1,1, 0.683
1, 2, 20, 1, 39,0,1, 0.000
1, 2, 21, 1, 36,0,1, 0.000
1, 2, 22, 2, 26,1,1, 0.299
1, 2, 23, 1, 35,0,1, 0.000
1, 2, 24, 2, 27,0,0, 0.000
1, 2, 25, 2, 45,0,1, 0.000
1, 2, 26, 1, 20,1,1, 0.477
1, 2, 27, 1, 37,1,0, 0.855
1, 2, 28, 1, 16,1,1, 0.915
1, 2, 29, 1, 21,1,1, 0.597
1, 2, 30, 2, 50,0,1, 0.000
1, 2, 31, 2, 24,0,0, 0.000
