Block,Trial,image_code,space_pressed,correct_incorrect,reaction_time
0, 25, 38, 1, 0, 0.808
0, 26, 32, 0, 0, 0.000
0, 27, 27, 0, 0, 0.000
0, 28, 16, 0, 0, 0.000
0, 29, 31, 0, 0, 0.000
0, 30, 46, 0, 0, 0.000
0, 31, 51, 0, 0, 0.000
0, 32, 41, 0, 0, 0.000
0, 33, 37, 0, 0, 0.000
0, 34, 19, 0, 0, 0.000
0, 35, 17, 0, 0, 0.000
0, 36, 35, 0, 0, 0.000
0, 37, 48, 0, 0, 0.000
0, 38, 45, 0, 0, 0.000
0, 39, 14, 0, 0, 0.000
2, 0, 39, 0, 0, 0.000
2, 1, 13, 0, 0, 0.000
2, 2, 46, 0, 0, 0.000
2, 3, 42, 0, 0, 0.000
2, 4, 28, 0, 0, 0.000
2, 5, 15, 0, 0, 0.000
2, 6, 26, 1, 1, 0.932
2, 7, 44, 0, 0, 0.000
2, 8, 49, 0, 0, 0.000
2, 9, 43, 0, 0, 0.000
2, 10, 37, 1, 0, 0.465
2, 11, 21, 1, 1, 0.413
2, 12, 50, 0, 0, 0.000
2, 13, 32, 1, 1, 0.539
2, 14, 31, 0, 0, 0.000
2, 15, 24, 1, 1, 0.668
2, 16, 22, 0, 0, 0.000
2, 17, 30, 0, 0, 0.000
2, 18, 29, 0, 0, 0.000
2, 19, 45, 0, 0, 0.000
2, 20, 17, 0, 0, 0.000
2, 21, 35, 0, 0, 0.000
2, 22, 16, 0, 0, 0.000
2, 23, 40, 0, 0, 0.000
2, 24, 33, 0, 0, 0.000
2, 25, 27, 0, 0, 0.000
2, 26, 34, 1, 0, 0.473
2, 27, 23, 0, 0, 0.000
2, 28, 18, 1, 1, 0.307
2, 29, 38, 0, 0, 0.000
2, 30, 25, 1, 1, 0.399
2, 31, 52, 0, 0, 0.000
2, 32, 19, 1, 1, 0.430
2, 33, 47, 0, 0, 0.000
2, 34, 51, 0, 0, 0.000
2, 35, 48, 0, 0, 0.000
2, 36, 41, 0, 0, 0.000
2, 37, 14, 1, 1, 0.468
2, 38, 36, 0, 0, 0.000
2, 39, 20, 0, 0, 0.000
5, 0, 40, 0, 0, 0.000
5, 1, 39, 0, 0, 0.000
5, 2, 47, 0, 0, 0.000
5, 3, 25, 0, 0, 0.000
5, 4, 28, 0, 0, 0.000
5, 5, 18, 1, 1, 0.630
5, 6, 14, 0, 0, 0.000
5, 7, 32, 0, 0, 0.000
5, 8, 24, 0, 0, 0.000
5, 9, 51, 0, 0, 0.000
5, 10, 19, 1, 1, 1.466
5, 11, 52, 0, 0, 0.000
5, 12, 22, 0, 0, 0.000
5, 13, 49, 1, 0, 0.946
5, 14, 34, 0, 0, 0.000
5, 15, 30, 0, 0, 0.000
5, 16, 27, 0, 0, 0.000
5, 17, 33, 0, 0, 0.000
5, 18, 21, 0, 0, 0.000
5, 19, 26, 1, 1, 0.642
5, 20, 45, 0, 0, 0.000
5, 21, 48, 1, 0, 1.184
5, 22, 38, 1, 0, 0.558
5, 23, 37, 0, 0, 0.000
5, 24, 41, 0, 0, 0.000
5, 25, 44, 0, 0, 0.000
5, 26, 13, 0, 0, 0.000
5, 27, 15, 1, 1, 0.386
5, 28, 43, 0, 0, 0.000
5, 29, 17, 0, 0, 0.000
5, 30, 42, 0, 0, 0.000
5, 31, 50, 0, 0, 0.000
5, 32, 46, 0, 0, 0.000
5, 33, 35, 0, 0, 0.000
5, 34, 23, 1, 1, 0.992
5, 35, 31, 0, 0, 0.000
5, 36, 36, 0, 0, 0.000
5, 37, 20, 0, 0, 0.000
5, 38, 16, 0, 0, 0.000
5, 39, 29, 0, 0, 0.000
