Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
5, 1, 0, 1, 16,1,1, 0.014
5, 1, 1, 1, 18,0,0, 0.000
5, 1, 2, 1, 22,0,0, 0.000
5, 1, 3, 1, 38,0,1, 0.000
5, 1, 4, 2, 30,1,1, 0.856
5, 1, 5, 2, 31,1,1, 0.706
5, 1, 6, 2, 43,1,0, 0.467
5, 1, 7, 2, 29,0,0, 0.000
5, 1, 8, 2, 49,0,1, 0.000
5, 1, 9, 2, 46,0,1, 0.000
5, 1, 10, 1, 17,0,0, 0.000
5, 1, 11, 1, 42,0,1, 0.000
5, 1, 12, 2, 23,1,1, 0.757
5, 1, 13, 1, 37,1,0, 0.336
5, 1, 14, 1, 21,0,0, 0.000
5, 1, 15, 2, 50,0,1, 0.000
5, 1, 16, 2, 32,0,0, 0.000
5, 1, 17, 1, 39,0,1, 0.000
5, 1, 18, 1, 13,0,0, 0.000
5, 1, 19, 2, 45,0,1, 0.000
5, 1, 20, 1, 14,1,1, 0.429
5, 1, 21, 2, 28,1,1, 0.545
5, 1, 22, 2, 26,0,0, 0.000
5, 1, 23, 1, 36,0,1, 0.000
5, 1, 24, 2, 48,1,0, 0.328
5, 1, 25, 2, 51,0,1, 0.000
5, 1, 26, 1, 35,0,1, 0.000
5, 1, 27, 2, 24,1,1, 0.371
5, 1, 28, 2, 44,0,1, 0.000
5, 1, 29, 1, 15,0,0, 0.000
5, 1, 30, 2, 25,1,1, 0.538
5, 1, 31, 1, 20,0,0, 0.000
5, 1, 32, 2, 52,0,1, 0.000
5, 1, 33, 1, 19,0,0, 0.000
5, 1, 34, 1, 41,0,1, 0.000
5, 1, 35, 1, 34,0,1, 0.000
5, 1, 36, 1, 33,0,1, 0.000
5, 1, 37, 2, 27,1,1, 0.286
5, 1, 38, 1, 40,0,1, 0.000
5, 1, 39, 2, 47,0,1, 0.000
4, 2, 0, 1, 13,0,0, 0.000
4, 2, 1, 1, 18,1,1, 0.473
4, 2, 2, 2, 30,1,1, 0.271
4, 2, 3, 1, 17,1,1, 0.366
4, 2, 4, 2, 43,0,1, 0.000
4, 2, 5, 1, 35,0,1, 0.000
4, 2, 6, 1, 33,0,1, 0.000
4, 2, 7, 1, 40,0,1, 0.000
4, 2, 8, 2, 50,1,0, 0.281
4, 2, 9, 2, 47,0,1, 0.000
4, 2, 10, 1, 14,0,0, 0.000
4, 2, 11, 2, 44,1,0, 0.482
4, 2, 12, 1, 22,1,1, 0.254
4, 2, 13, 1, 41,0,1, 0.000
4, 2, 14, 2, 29,0,0, 0.000
4, 2, 15, 2, 24,1,1, 0.270
4, 2, 16, 1, 37,0,1, 0.000
4, 2, 17, 2, 32,1,1, 0.062
4, 2, 18, 2, 48,1,0, 0.653
4, 2, 19, 2, 46,0,1, 0.000
4, 2, 20, 2, 25,0,0, 0.000
4, 2, 21, 1, 19,0,0, 0.000
4, 2, 22, 1, 42,0,1, 0.000
4, 2, 23, 1, 34,0,1, 0.000
4, 2, 24, 2, 51,1,0, 0.645
4, 2, 25, 1, 36,1,0, 0.895
4, 2, 26, 2, 52,1,0, 0.261
4, 2, 27, 2, 31,0,0, 0.000
4, 2, 28, 1, 20,0,0, 0.000
4, 2, 29, 2, 49,0,1, 0.000
4, 2, 30, 1, 15,0,0, 0.000
4, 2, 31, 2, 23,1,1, 0.863
4, 2, 32, 1, 16,1,1, 1.047
