Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
1, 2, 0, 1, 18,1,1, 0.083
1, 2, 1, 2, 25,0,0, 0.000
1, 2, 2, 2, 45,1,0, 0.754
1, 2, 3, 2, 50,0,1, 0.000
1, 2, 4, 1, 13,1,1, 0.491
1, 2, 5, 1, 17,1,1, 0.505
1, 2, 6, 2, 49,0,1, 0.000
1, 2, 7, 2, 51,1,0, 0.900
1, 2, 8, 2, 32,1,1, 0.440
1, 2, 9, 2, 23,0,0, 0.000
1, 2, 10, 1, 42,1,0, 0.439
1, 2, 11, 2, 24,0,0, 0.000
1, 2, 12, 2, 44,1,0, 0.637
1, 2, 13, 2, 52,0,1, 0.000
1, 2, 14, 1, 37,0,1, 0.000
1, 2, 15, 2, 31,1,1, 0.522
1, 2, 16, 2, 26,1,1, 1.060
1, 2, 17, 2, 43,0,1, 0.000
1, 2, 18, 1, 15,0,0, 0.000
1, 2, 19, 1, 39,1,0, 0.552
1, 2, 20, 1, 19,1,1, 0.810
1, 2, 21, 2, 29,0,0, 0.000
1, 2, 22, 2, 28,1,1, 0.435
1, 2, 23, 1, 16,1,1, 0.339
1, 2, 24, 1, 41,1,0, 0.461
1, 2, 25, 2, 47,0,1, 0.000
1, 2, 26, 1, 33,1,0, 0.456
1, 2, 27, 1, 21,1,1, 0.749
1, 2, 28, 1, 34,1,0, 0.468
1, 2, 29, 2, 27,0,0, 0.000
1, 2, 30, 2, 48,1,0, 0.652
1, 2, 31, 1, 36,1,0, 0.692
1, 2, 32, 1, 22,1,1, 0.389
1, 2, 33, 1, 14,0,0, 0.000
1, 2, 34, 1, 35,1,0, 0.601
1, 2, 35, 2, 30,0,0, 0.000
1, 2, 36, 1, 40,0,1, 0.000
1, 2, 37, 2, 46,0,1, 0.000
1, 2, 38, 1, 20,1,1, 0.679
1, 2, 39, 1, 38,0,1, 0.000
5, 3, 0, 1, 36,0,1, 0.000
5, 3, 1, 2, 28,1,1, 0.604
5, 3, 2, 2, 50,1,0, 0.930
5, 3, 3, 1, 20,1,1, 0.762
5, 3, 4, 2, 27,1,1, 0.396
5, 3, 5, 1, 14,0,0, 0.000
5, 3, 6, 1, 35,1,0, 0.645
5, 3, 7, 2, 30,0,0, 0.000
5, 3, 8, 2, 25,0,0, 0.000
5, 3, 9, 1, 41,1,0, 0.640
5, 3, 10, 1, 22,1,1, 0.324
5, 3, 11, 2, 49,1,0, 0.357
5, 3, 12, 2, 26,0,0, 0.000
5, 3, 13, 2, 31,1,1, 0.575
5, 3, 14, 1, 38,1,0, 0.763
5, 3, 15, 2, 51,0,1, 0.000
5, 3, 16, 1, 19,1,1, 0.640
5, 3, 17, 2, 47,0,1, 0.000
5, 3, 18, 1, 17,0,0, 0.000
5, 3, 19, 1, 15,1,1, 0.811
5, 3, 20, 2, 46,0,1, 0.000
5, 3, 21, 2, 52,1,0, 0.566
5, 3, 22, 1, 39,0,1, 0.000
5, 3, 23, 1, 42,0,1, 0.000
5, 3, 24, 1, 34,1,0, 0.498
5, 3, 25, 1, 13,0,0, 0.000
5, 3, 26, 2, 45,0,1, 0.000
5, 3, 27, 1, 16,1,1, 0.546
5, 3, 28, 2, 48,1,0, 0.728
5, 3, 29, 1, 33,1,0, 0.611
5, 3, 30, 2, 23,1,1, 0.646
5, 3, 31, 1, 40,1,0, 0.342
5, 3, 32, 2, 43,0,1, 0.000
5, 3, 33, 1, 21,0,0, 0.000
5, 3, 34, 2, 24,1,1, 0.547
5, 3, 35, 2, 29,0,0, 0.000
5, 3, 36, 1, 37,1,0, 0.542
5, 3, 37, 2, 32,0,0, 0.000
5, 3, 38, 2, 44,0,1, 0.000
5, 3, 39, 1, 18,1,1, 0.546
0, 1, 0, 1, 41,0,1, 0.000
0, 1, 1, 1, 38,1,0, 0.637
0, 1, 2, 1, 17,1,1, 0.688
0, 1, 3, 2, 23,1,1, 0.458
0, 1, 4, 2, 51,0,1, 0.000
0, 1, 5, 1, 14,0,0, 0.000
0, 1, 6, 1, 13,1,1, 0.752
0, 1, 7, 2, 47,0,1, 0.000
0, 1, 8, 2, 28,1,1, 0.388
0, 1, 9, 1, 20,0,0, 0.000
0, 1, 10, 2, 45,1,0, 0.526
0, 1, 11, 2, 43,0,1, 0.000
0, 1, 12, 1, 33,0,1, 0.000
0, 1, 13, 2, 50,1,0, 0.643
0, 1, 14, 1, 35,0,1, 0.000
0, 1, 15, 2, 32,0,0, 0.000
0, 1, 16, 1, 39,0,1, 0.000
0, 1, 17, 1, 19,1,1, 0.495
0, 1, 18, 2, 31,1,1, 0.336
0, 1, 19, 2, 24,0,0, 0.000
0, 1, 20, 2, 52,1,0, 0.446
0, 1, 21, 2, 25,1,1, 0.602
0, 1, 22, 2, 48,1,0, 0.845
0, 1, 23, 2, 44,0,1, 0.000
0, 1, 24, 1, 37,1,0, 1.487
0, 1, 25, 2, 30,1,1, 0.341
0, 1, 26, 1, 36,1,0, 0.808
0, 1, 27, 1, 18,1,1, 0.441
0, 1, 28, 1, 40,0,1, 0.000
0, 1, 29, 2, 29,1,1, 0.591
0, 1, 30, 1, 42,0,1, 0.000
0, 1, 31, 1, 21,0,0, 0.000
