Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
0, 3, 0, 1, 35,0,1, 0.000
0, 3, 1, 2, 48,1,0, 0.821
0, 3, 2, 2, 26,0,0, 0.000
0, 3, 3, 1, 39,0,1, 0.000
0, 3, 4, 1, 33,1,0, 0.963
0, 3, 5, 2, 43,0,1, 0.000
0, 3, 6, 2, 51,1,0, 0.855
0, 3, 7, 2, 32,1,1, 0.933
0, 3, 8, 2, 50,1,0, 0.825
0, 3, 9, 1, 41,1,0, 0.525
0, 3, 10, 1, 19,0,0, 0.000
0, 3, 11, 2, 25,1,1, 0.479
0, 3, 12, 1, 13,1,1, 0.485
0, 3, 13, 1, 37,0,1, 0.000
0, 3, 14, 2, 31,1,1, 0.451
0, 3, 15, 2, 44,0,1, 0.000
0, 3, 16, 1, 17,1,1, 1.101
0, 3, 17, 1, 14,0,0, 0.000
0, 3, 18, 2, 47,1,0, 0.859
0, 3, 19, 2, 27,1,1, 0.449
0, 3, 20, 2, 46,1,0, 0.607
0, 3, 21, 2, 23,1,1, 0.455
0, 3, 22, 1, 22,0,0, 0.000
0, 3, 23, 1, 21,0,0, 0.000
0, 3, 24, 1, 15,1,1, 0.709
0, 3, 25, 2, 49,0,1, 0.000
0, 3, 26, 1, 34,0,1, 0.000
0, 3, 27, 2, 24,0,0, 0.000
0, 3, 28, 1, 42,0,1, 0.000
0, 3, 29, 2, 52,0,1, 0.000
0, 3, 30, 1, 36,0,1, 0.000
0, 3, 31, 1, 38,0,1, 0.000
0, 3, 32, 1, 20,1,1, 0.429
0, 3, 33, 2, 28,1,1, 0.429
0, 3, 34, 1, 40,1,0, 0.551
0, 3, 35, 2, 45,1,0, 0.415
0, 3, 36, 1, 18,1,1, 0.923
0, 3, 37, 2, 29,0,0, 0.000
0, 3, 38, 2, 30,0,0, 0.000
0, 3, 39, 1, 16,1,1, 0.461
1, 1, 0, 1, 15,1,1, 0.733
1, 1, 1, 1, 36,0,1, 0.000
1, 1, 2, 2, 32,1,1, 1.227
1, 1, 3, 2, 44,0,1, 0.000
1, 1, 4, 1, 39,1,0, 0.587
1, 1, 5, 2, 27,1,1, 0.759
1, 1, 6, 2, 30,0,0, 0.000
1, 1, 7, 1, 34,1,0, 0.611
1, 1, 8, 2, 31,0,0, 0.000
1, 1, 9, 1, 37,0,1, 0.000
1, 1, 10, 2, 45,1,0, 0.703
1, 1, 11, 1, 18,1,1, 0.501
1, 1, 12, 2, 48,0,1, 0.000
1, 1, 13, 2, 50,0,1, 0.000
1, 1, 14, 1, 38,1,0, 0.649
1, 1, 15, 1, 42,0,1, 0.000
1, 1, 16, 1, 21,1,1, 0.519
1, 1, 17, 1, 13,1,1, 0.545
1, 1, 18, 2, 43,0,1, 0.000
1, 1, 19, 2, 28,1,1, 0.581
1, 1, 20, 1, 22,1,1, 0.827
1, 1, 21, 2, 26,1,1, 1.381
1, 1, 22, 2, 49,1,0, 1.027
1, 1, 23, 2, 25,1,1, 0.817
1, 1, 24, 1, 20,1,1, 0.745
1, 1, 25, 2, 46,0,1, 0.000
1, 1, 26, 1, 40,0,1, 0.000
1, 1, 27, 2, 47,0,1, 0.000
1, 1, 28, 1, 35,0,1, 0.000
1, 1, 29, 2, 24,0,0, 0.000
1, 1, 30, 2, 23,1,1, 0.417
1, 1, 31, 2, 52,0,1, 0.000
1, 1, 32, 1, 16,1,1, 0.471
1, 1, 33, 1, 33,0,1, 0.000
1, 1, 34, 2, 29,1,1, 0.525
1, 1, 35, 2, 51,0,1, 0.000
1, 1, 36, 1, 14,1,1, 0.345
1, 1, 37, 1, 41,1,0, 0.375
1, 1, 38, 1, 17,1,1, 0.435
1, 1, 39, 1, 19,1,1, 0.533
2, 2, 0, 2, 28,0,0, 0.000
2, 2, 1, 2, 23,1,1, 0.575
2, 2, 2, 1, 34,1,0, 0.395
2, 2, 3, 1, 17,1,1, 0.539
2, 2, 4, 1, 40,0,1, 0.000
2, 2, 5, 1, 14,1,1, 0.437
2, 2, 6, 1, 16,1,1, 0.511
2, 2, 7, 2, 45,1,0, 0.537
2, 2, 8, 2, 44,0,1, 0.000
2, 2, 9, 2, 48,1,0, 0.653
2, 2, 10, 2, 51,0,1, 0.000
2, 2, 11, 1, 33,0,1, 0.000
2, 2, 12, 2, 25,1,1, 0.543
2, 2, 13, 2, 24,0,0, 0.000
2, 2, 14, 2, 43,0,1, 0.000
2, 2, 15, 1, 37,1,0, 0.393
2, 2, 16, 1, 35,1,0, 0.785
2, 2, 17, 1, 42,0,1, 0.000
2, 2, 18, 2, 50,0,1, 0.000
2, 2, 19, 1, 15,1,1, 0.635
2, 2, 20, 2, 52,0,1, 0.000
2, 2, 21, 2, 32,0,0, 0.000
2, 2, 22, 2, 27,1,1, 0.433
2, 2, 23, 2, 49,0,1, 0.000
2, 2, 24, 2, 30,1,1, 0.475
2, 2, 25, 2, 46,0,1, 0.000
2, 2, 26, 2, 26,1,1, 1.213
2, 2, 27, 1, 22,0,0, 0.000
2, 2, 28, 1, 36,0,1, 0.000
2, 2, 29, 1, 13,0,0, 0.000
2, 2, 30, 1, 18,1,1, 0.457
2, 2, 31, 2, 31,1,1, 0.473
2, 2, 32, 2, 29,0,0, 0.000
2, 2, 33, 1, 19,0,0, 0.000
2, 2, 34, 1, 41,1,0, 0.333
2, 2, 35, 1, 39,0,1, 0.000
2, 2, 36, 1, 38,0,1, 0.000
2, 2, 37, 1, 20,1,1, 0.467
2, 2, 38, 2, 47,1,0, 0.829
2, 2, 39, 1, 21,1,1, 0.905
3, 3, 0, 2, 32,1,1, 0.379
3, 3, 1, 1, 40,1,0, 0.653
3, 3, 2, 1, 19,1,1, 0.287
3, 3, 3, 1, 16,1,1, 0.357
3, 3, 4, 1, 35,0,1, 0.000
3, 3, 5, 1, 34,1,0, 1.071
3, 3, 6, 2, 50,1,0, 0.655
