Block,stimulation_condition,Trial,bridge/house[1/2],image_code,space_pressed,correct_incorrect,reaction_time
4, 2, 0, 1, 20,1,1, 0.096
4, 2, 1, 1, 15,1,1, 0.712
4, 2, 2, 0, 32,0,0, 0.000
4, 2, 3, 1, 21,1,1, 0.760
4, 2, 4, 1, 18,1,1, 0.741
4, 2, 5, 2, 50,1,0, 0.915
4, 2, 6, 1, 13,1,1, 0.819
4, 2, 7, 2, 46,0,1, 0.000
4, 2, 8, 2, 28,1,1, 0.698
4, 2, 9, 2, 45,1,0, 1.435
4, 2, 10, 2, 52,1,0, 0.768
4, 2, 11, 2, 30,1,1, 0.720
4, 2, 12, 2, 51,0,1, 0.000
4, 2, 13, 2, 44,1,0, 0.687
4, 2, 14, 1, 22,1,1, 0.710
4, 2, 15, 1, 42,0,1, 0.000
4, 2, 16, 2, 48,1,0, 0.659
4, 2, 17, 1, 34,0,1, 0.000
4, 2, 18, 1, 16,1,1, 0.728
4, 2, 19, 1, 35,0,1, 0.000
4, 2, 20, 2, 26,1,1, 0.538
4, 2, 21, 0, 27,0,0, 0.000
4, 2, 22, 0, 14,0,0, 0.000
4, 2, 23, 2, 43,0,1, 0.000
4, 2, 24, 0, 25,0,0, 0.000
4, 2, 25, 1, 37,0,1, 0.000
4, 2, 26, 1, 33,1,0, 0.836
4, 2, 27, 0, 24,0,0, 0.000
4, 2, 28, 1, 41,0,1, 0.000
4, 2, 29, 0, 29,0,0, 0.000
4, 2, 30, 2, 47,0,1, 0.000
4, 2, 31, 1, 36,1,0, 1.452
4, 2, 32, 2, 23,1,1, 0.565
4, 2, 33, 1, 39,1,0, 0.910
4, 2, 34, 1, 38,0,1, 0.000
4, 2, 35, 0, 19,0,0, 0.000
4, 2, 36, 2, 49,1,0, 0.841
4, 2, 37, 1, 40,0,1, 0.000
4, 2, 38, 0, 31,0,0, 0.000
4, 2, 39, 0, 17,0,0, 0.000
0, 3, 0, 2, 46,0,1, 0.000
0, 3, 1, 0, 21,0,0, 0.000
0, 3, 2, 2, 43,1,0, 0.616
0, 3, 3, 2, 27,1,1, 0.755
0, 3, 4, 1, 18,1,1, 0.686
0, 3, 5, 2, 28,1,1, 0.840
0, 3, 6, 1, 22,1,1, 0.726
0, 3, 7, 0, 13,0,0, 0.000
0, 3, 8, 2, 32,1,1, 0.682
0, 3, 9, 1, 34,0,1, 0.000
0, 3, 10, 1, 41,1,0, 0.743
0, 3, 11, 0, 23,0,0, 0.000
0, 3, 12, 2, 47,0,1, 0.000
0, 3, 13, 2, 52,0,1, 0.000
0, 3, 14, 1, 39,1,0, 0.737
0, 3, 15, 2, 51,0,1, 0.000
0, 3, 16, 1, 40,1,0, 0.719
0, 3, 17, 1, 17,1,1, 0.481
0, 3, 18, 0, 24,0,0, 0.000
0, 3, 19, 0, 29,0,0, 0.000
0, 3, 20, 1, 37,0,1, 0.000
0, 3, 21, 0, 15,0,0, 0.000
0, 3, 22, 1, 19,1,1, 0.562
0, 3, 23, 1, 35,0,1, 0.000
0, 3, 24, 2, 45,1,0, 0.756
0, 3, 25, 0, 20,0,0, 0.000
0, 3, 26, 0, 14,0,0, 0.000
0, 3, 27, 2, 44,0,1, 0.000
0, 3, 28, 2, 48,1,0, 0.699
0, 3, 29, 2, 49,0,1, 0.000
0, 3, 30, 2, 25,1,1, 0.961
0, 3, 31, 1, 42,0,1, 0.000
0, 3, 32, 2, 50,0,1, 0.000
0, 3, 33, 1, 16,1,1, 0.801
0, 3, 34, 1, 33,0,1, 0.000
0, 3, 35, 2, 31,1,1, 0.951
0, 3, 36, 1, 36,0,1, 0.000
0, 3, 37, 1, 38,1,0, 0.823
0, 3, 38, 0, 26,0,0, 0.000
0, 3, 39, 0, 30,0,0, 0.000
2, 2, 0, 1, 16,1,1, 1.315
2, 2, 1, 1, 39,0,1, 0.000
2, 2, 2, 0, 28,0,0, 0.000
2, 2, 3, 2, 44,0,1, 0.000
2, 2, 4, 0, 30,0,0, 0.000
2, 2, 5, 0, 25,0,0, 0.000
2, 2, 6, 0, 24,0,0, 0.000
2, 2, 7, 2, 50,0,1, 0.000
2, 2, 8, 2, 51,0,1, 0.000
2, 2, 9, 1, 35,1,0, 0.817
2, 2, 10, 1, 40,0,1, 0.000
2, 2, 11, 1, 34,0,1, 0.000
2, 2, 12, 2, 48,0,1, 0.000
2, 2, 13, 1, 19,1,1, 0.968
2, 2, 14, 2, 47,0,1, 0.000
2, 2, 15, 1, 36,1,0, 0.732
2, 2, 16, 1, 13,1,1, 0.833
2, 2, 17, 0, 14,0,0, 0.000
2, 2, 18, 2, 46,0,1, 0.000
2, 2, 19, 1, 15,1,1, 0.703
2, 2, 20, 2, 49,0,1, 0.000
2, 2, 21, 1, 41,1,0, 0.946
2, 2, 22, 0, 23,0,0, 0.000
2, 2, 23, 0, 20,0,0, 0.000
2, 2, 24, 0, 27,0,0, 0.000
2, 2, 25, 0, 17,0,0, 0.000
2, 2, 26, 0, 26,0,0, 0.000
2, 2, 27, 2, 43,0,1, 0.000
2, 2, 28, 1, 38,0,1, 0.000
2, 2, 29, 0, 31,0,0, 0.000
2, 2, 30, 0, 29,0,0, 0.000
2, 2, 31, 1, 37,0,1, 0.000
2, 2, 32, 1, 22,1,1, 0.917
2, 2, 33, 2, 52,0,1, 0.000
2, 2, 34, 1, 33,0,1, 0.000
2, 2, 35, 2, 45,1,0, 0.833
2, 2, 36, 2, 32,1,1, 0.680
2, 2, 37, 0, 21,0,0, 0.000
2, 2, 38, 1, 18,1,1, 0.693
2, 2, 39, 1, 42,0,1, 0.000
1, 1, 0, 2, 30,1,1, 0.510
1, 1, 1, 0, 32,0,0, 0.000
1, 1, 2, 2, 47,0,1, 0.000
1, 1, 3, 0, 29,0,0, 0.000
1, 1, 4, 2, 50,1,0, 0.791
1, 1, 5, 0, 31,0,0, 0.000
1, 1, 6, 1, 42,0,1, 0.000
1, 1, 7, 2, 51,1,0, 0.720
1, 1, 8, 2, 43,0,1, 0.000
1, 1, 9, 0, 21,0,0, 0.000
1, 1, 10, 2, 23,1,1, 0.575
1, 1, 11, 1, 35,0,1, 0.000
1, 1, 12, 0, 22,0,0, 0.000
1, 1, 13, 1, 17,1,1, 0.676
1, 1, 14, 1, 20,1,1, 0.792
1, 1, 15, 2, 44,0,1, 0.000
1, 1, 16, 2, 24,1,1, 0.861
1, 1, 17, 2, 48,1,0, 0.701
1, 1, 18, 0, 15,0,0, 0.000
1, 1, 19, 0, 16,0,0, 0.000
1, 1, 20, 0, 13,0,0, 0.000
1, 1, 21, 1, 37,0,1, 0.000
1, 1, 22, 2, 49,1,0, 0.793
1, 1, 23, 1, 19,1,1, 0.978
1, 1, 24, 1, 40,0,1, 0.000
1, 1, 25, 2, 28,1,1, 0.849
1, 1, 26, 0, 26,0,0, 0.000
1, 1, 27, 1, 33,0,1, 0.000
1, 1, 28, 1, 38,0,1, 0.000
1, 1, 29, 2, 46,0,1, 0.000
1, 1, 30, 1, 18,1,1, 1.020
1, 1, 31, 1, 39,0,1, 0.000
1, 1, 32, 2, 27,1,1, 0.727
1, 1, 33, 0, 14,0,0, 0.000
1, 1, 34, 1, 41,0,1, 0.000
1, 1, 35, 1, 36,0,1, 0.000
1, 1, 36, 2, 52,1,0, 0.994
1, 1, 37, 1, 34,0,1, 0.000
1, 1, 38, 2, 25,1,1, 0.661
1, 1, 39, 2, 45,0,1, 0.000
5, 1, 0, 2, 31,1,1, 0.653
5, 1, 1, 2, 48,0,1, 0.000
5, 1, 2, 1, 36,1,0, 1.035
5, 1, 3, 1, 42,0,1, 0.000
5, 1, 4, 1, 39,0,1, 0.000
5, 1, 5, 2, 26,1,1, 0.923
5, 1, 6, 0, 19,0,0, 0.000
5, 1, 7, 1, 14,1,1, 1.149
5, 1, 8, 1, 20,1,1, 0.503
5, 1, 9, 2, 24,1,1, 0.829
5, 1, 10, 0, 23,0,0, 0.000
5, 1, 11, 1, 13,1,1, 0.613
5, 1, 12, 2, 46,0,1, 0.000
5, 1, 13, 0, 22,0,0, 0.000
5, 1, 14, 2, 25,1,1, 0.945
5, 1, 15, 1, 34,0,1, 0.000
5, 1, 16, 0, 21,0,0, 0.000
5, 1, 17, 0, 29,0,0, 0.000
5, 1, 18, 1, 15,1,1, 0.847
5, 1, 19, 0, 18,0,0, 0.000
5, 1, 20, 2, 44,0,1, 0.000
5, 1, 21, 2, 51,0,1, 0.000
5, 1, 22, 1, 38,0,1, 0.000
5, 1, 23, 2, 50,0,1, 0.000
5, 1, 24, 0, 32,0,0, 0.000
5, 1, 25, 1, 33,0,1, 0.000
5, 1, 26, 0, 28,0,0, 0.000
5, 1, 27, 2, 52,0,1, 0.000
5, 1, 28, 1, 17,1,1, 0.680
5, 1, 29, 1, 40,0,1, 0.000
5, 1, 30, 1, 16,1,1, 0.884
5, 1, 31, 1, 41,0,1, 0.000
5, 1, 32, 1, 37,0,1, 0.000
5, 1, 33, 2, 43,0,1, 0.000
5, 1, 34, 1, 35,0,1, 0.000
5, 1, 35, 0, 30,0,0, 0.000
5, 1, 36, 2, 45,0,1, 0.000
5, 1, 37, 0, 27,0,0, 0.000
5, 1, 38, 2, 47,0,1, 0.000
5, 1, 39, 2, 49,0,1, 0.000
3, 3, 0, 1, 41,1,0, 0.872
3, 3, 1, 0, 28,0,0, 0.000
3, 3, 2, 0, 23,0,0, 0.000
3, 3, 3, 0, 27,0,0, 0.000
3, 3, 4, 0, 21,0,0, 0.000
3, 3, 5, 0, 29,0,0, 0.000
3, 3, 6, 0, 26,0,0, 0.000
3, 3, 7, 1, 39,0,1, 0.000
3, 3, 8, 1, 38,0,1, 0.000
3, 3, 9, 2, 45,0,1, 0.000
3, 3, 10, 1, 22,1,1, 0.902
3, 3, 11, 0, 14,0,0, 0.000
3, 3, 12, 1, 33,0,1, 0.000
