Block,Trial,image_code,space_pressed,correct_incorrect,reaction_time
3, 0, 16, 1, 1, 0.022
3, 1, 42, 1, 0, 0.565
3, 2, 35, 0, 0, 0.000
3, 3, 20, 1, 1, 0.424
3, 4, 23, 1, 1, 0.339
3, 5, 39, 0, 0, 0.000
3, 6, 28, 0, 0, 0.000
3, 7, 43, 1, 0, 0.289
3, 8, 25, 1, 1, 0.432
3, 9, 36, 0, 0, 0.000
3, 10, 38, 0, 0, 0.000
3, 11, 48, 1, 0, 0.504
3, 12, 22, 1, 1, 0.289
3, 13, 46, 0, 0, 0.000
3, 14, 37, 1, 0, 0.389
3, 15, 17, 1, 1, 0.467
3, 16, 21, 1, 1, 0.349
3, 17, 13, 0, 0, 0.000
3, 18, 26, 1, 1, 0.836
3, 19, 33, 0, 0, 0.836
3, 20, 34, 0, 0, 0.000
3, 21, 50, 0, 0, 0.000
3, 22, 45, 0, 0, 0.000
3, 23, 49, 1, 0, 0.363
3, 24, 31, 0, 0, 0.000
3, 25, 47, 0, 0, 0.000
3, 26, 15, 0, 0, 0.000
3, 27, 44, 0, 0, 0.000
3, 28, 19, 0, 0, 0.000
3, 29, 41, 0, 0, 0.000
3, 30, 51, 0, 0, 0.000
3, 31, 14, 1, 1, 1.066
3, 32, 27, 0, 0, 0.000
3, 33, 52, 0, 0, 0.000
3, 34, 30, 1, 1, 0.268
3, 35, 18, 0, 0, 0.000
3, 36, 29, 0, 0, 0.000
3, 37, 32, 1, 1, 0.534
3, 38, 24, 0, 0, 0.000
3, 39, 40, 1, 0, 0.379
0, 0, 25, 1, 1, 0.274
0, 1, 23, 1, 1, 0.363
0, 2, 45, 1, 0, 0.305
0, 3, 29, 0, 0, 0.000
0, 4, 16, 1, 1, 0.404
0, 5, 28, 1, 1, 0.264
0, 6, 50, 1, 0, 0.664
0, 7, 24, 1, 1, 0.316
0, 8, 40, 0, 0, 0.000
0, 9, 48, 0, 0, 0.000
0, 10, 21, 1, 1, 0.264
0, 11, 38, 0, 0, 0.000
0, 12, 32, 1, 1, 0.416
0, 13, 43, 0, 0, 0.000
0, 14, 52, 0, 0, 0.000
0, 15, 46, 1, 0, 0.354
0, 16, 34, 1, 0, 0.387
0, 17, 30, 1, 1, 0.369
0, 18, 41, 0, 0, 0.000
0, 19, 14, 0, 0, 0.000
0, 20, 13, 1, 1, 0.378
0, 21, 20, 1, 1, 0.898
0, 22, 36, 0, 0, 0.000
0, 23, 37, 1, 0, 0.360
0, 24, 42, 0, 0, 0.000
0, 25, 47, 0, 0, 0.000
0, 26, 27, 0, 0, 0.000
0, 27, 51, 0, 0, 0.000
0, 28, 35, 1, 0, 0.706
0, 29, 18, 1, 1, 0.767
0, 30, 49, 0, 0, 0.000
0, 31, 26, 0, 0, 0.000
0, 32, 15, 1, 1, 0.482
0, 33, 17, 1, 1, 0.395
0, 34, 39, 0, 0, 0.000
0, 35, 19, 1, 1, 0.359
0, 36, 33, 0, 0, 0.359
0, 37, 31, 0, 0, 0.000
0, 38, 44, 0, 0, 0.000
0, 39, 22, 0, 0, 0.000
1, 0, 38, 0, 0, 0.000
1, 1, 46, 0, 0, 0.000
1, 2, 15, 0, 0, 0.000
1, 3, 29, 1, 1, 0.603
1, 4, 14, 0, 0, 0.000
1, 5, 28, 1, 1, 0.306
1, 6, 43, 1, 0, 0.417
1, 7, 18, 1, 1, 0.777
1, 8, 23, 1, 1, 0.359
1, 9, 30, 0, 0, 0.000
1, 10, 25, 0, 0, 0.000
1, 11, 24, 1, 1, 0.377
1, 12, 34, 0, 0, 0.000
1, 13, 45, 0, 0, 0.000
1, 14, 35, 0, 0, 0.000
1, 15, 22, 0, 0, 0.000
1, 16, 20, 1, 1, 0.331
1, 17, 41, 0, 0, 0.000
1, 18, 32, 0, 0, 0.000
1, 19, 49, 0, 0, 0.000
1, 20, 44, 0, 0, 0.000
1, 21, 21, 1, 1, 0.290
1, 22, 37, 1, 0, 0.965
1, 23, 13, 0, 0, 0.000
1, 24, 42, 0, 0, 0.000
1, 25, 26, 1, 1, 0.284
1, 26, 47, 1, 0, 0.315
1, 27, 36, 0, 0, 0.000
1, 28, 48, 0, 0, 0.000
1, 29, 27, 0, 0, 0.000
1, 30, 40, 0, 0, 0.000
1, 31, 31, 1, 1, 0.527
1, 32, 19, 1, 1, 0.355
1, 33, 17, 0, 0, 0.000
1, 34, 52, 0, 0, 0.000
1, 35, 33, 0, 0, 0.000
1, 36, 50, 0, 0, 0.000
1, 37, 51, 1, 0, 0.539
1, 38, 39, 0, 0, 0.000
1, 39, 16, 1, 1, 0.352
2, 0, 44, 1, 0, 0.259
2, 1, 14, 0, 0, 0.000
2, 2, 42, 0, 0, 0.000
2, 3, 25, 0, 0, 0.000
2, 4, 17, 1, 1, 0.351
2, 5, 43, 1, 0, 0.365
2, 6, 15, 0, 0, 0.000
2, 7, 26, 1, 1, 0.266
2, 8, 52, 0, 0, 0.000
2, 9, 24, 0, 0, 0.000
2, 10, 41, 0, 0, 0.000
2, 11, 50, 0, 0, 0.000
2, 12, 23, 1, 1, 0.747
2, 13, 49, 0, 0, 0.000
2, 14, 20, 0, 0, 0.000
2, 15, 51, 1, 0, 0.198
2, 16, 29, 0, 0, 0.000
2, 17, 35, 0, 0, 0.000
2, 18, 27, 0, 0, 0.000
2, 19, 45, 1, 0, 0.312
2, 20, 39, 1, 0, 0.294
2, 21, 36, 1, 0, 0.730
2, 22, 38, 0, 0, 0.000
2, 23, 48, 0, 0, 0.000
2, 24, 21, 0, 0, 0.000
2, 25, 33, 0, 0, 0.000
2, 26, 16, 0, 0, 0.000
2, 27, 31, 1, 1, 0.520
2, 28, 28, 0, 0, 0.000
2, 29, 30, 0, 0, 0.000
2, 30, 47, 1, 0, 0.333
2, 31, 40, 0, 0, 0.000
2, 32, 22, 0, 0, 0.000
2, 33, 32, 1, 1, 0.337
2, 34, 34, 1, 0, 0.648
2, 35, 13, 0, 0, 0.000
2, 36, 19, 0, 0, 0.000
2, 37, 37, 0, 0, 0.000
2, 38, 46, 0, 0, 0.000
2, 39, 18, 1, 1, 0.310
5, 0, 29, 1, 1, 0.463
5, 1, 42, 0, 0, 0.000
5, 2, 47, 1, 0, 0.324
5, 3, 45, 1, 0, 0.676
5, 4, 31, 0, 0, 0.000
5, 5, 34, 0, 0, 0.000
5, 6, 24, 1, 1, 0.346
